Sample_Name,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,characteristics_ch1.3,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,data_processing.1,data_processing.2,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,supplementary_file.1,data_row_count,cell line:ch1,cosmic_id:ch1,primary histology:ch1,primary site:ch1,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Basename,filenames,Purity_Impute_Absolute,Gains,Amp,HetLoss,HomDel,Amp10
COLO829,CellLine_COLO-829,GSM1669695,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,COLO-829,Homo sapiens,cell line: COLO-829,primary site: skin,primary histology: melanoma,cosmic_id: 687448,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669695/suppl/GSM1669695_7878191001_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669695/suppl/GSM1669695_7878191001_R05C02_Red.idat.gz,0,COLO-829,687448,melanoma,skin,,Tumor,,,,7878191001_R05C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669695/GSM1669695_7878191001_R05C02,0.684111333333332,CDK6;ARPC1A;DNMT3B;E2F3;EEF1A2;EGFR;ETV1;KIT;MET;MITF;RAB23;PIK3CA;PIK3CB;PIK3CG;DCUN1D1;EIF5A2;SMURF1;PTK6;SOX2;SOX4;AURKA;YWHAB;ZNF217;NCOA3;EIF2A;RUVBL1;CHD1L,"",CDKN2A;CDKN2B;FANCD2;FGFR1;CD274;NRAS;SKP2;VHL;SLTM;TET1;IST1,PTEN,""
CPCN,CellLine_CPC-N,GSM1669708,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,CPC-N,Homo sapiens,cell line: CPC-N,primary site: lung,primary histology: lung_small_cell_carcinoma,cosmic_id: 753547,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669708/suppl/GSM1669708_7878191064_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669708/suppl/GSM1669708_7878191064_R02C01_Red.idat.gz,0,CPC-N,753547,lung_small_cell_carcinoma,lung,,Tumor,,,,7878191064_R02C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669708/GSM1669708_7878191064_R02C01,0.747001166666667,STARD3;DNMT3B;E2F3;EEF1A2;ERBB2;GRB7;AR;RAB23;PIK3CA;PIK3CB;DCUN1D1;PKN1;EIF5A2;PTK6;RPS6KB1;SOX2;SOX4;AURKA;YWHAB;ZNF217;SLTM;NCOA3;EIF2A;PPM1D;RUVBL1;CDC6,"",FANCD2;MITF;PIK3CD;RB1;VHL,"",MYC
D283MED,CellLine_D-283MED,GSM1669717,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,D-283MED,Homo sapiens,cell line: D-283MED,primary site: nervous_system,primary histology: medulloblastoma,cosmic_id: 906834,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669717/suppl/GSM1669717_7970376015_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669717/suppl/GSM1669717_7970376015_R02C02_Red.idat.gz,0,D-283MED,906834,medulloblastoma,nervous_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669717_7970376015_R02C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669717/GSM1669717_7970376015_R02C02,0.694424333333333,AKT3;TRIB1;ADAR;STARD3;CKS1B;ERBB2;GRB7;MDM4;RPS6KB1;SHC1;TFDP1;PPM1D;CHD1L;SETDB1;CDC6,YWHAZ;MTDH,CDK6;ARPC1A;EGFR;ETV1;MET;PAFAH1B1;PIK3CG;SMURF1;IST1,"",""
DB,CellLine_DB,GSM1669727,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DB,Homo sapiens,cell line: DB,primary site: blood,primary histology: B_cell_lymphoma,cosmic_id: 906832,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669727/suppl/GSM1669727_8359026017_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669727/suppl/GSM1669727_8359026017_R01C01_Red.idat.gz,0,DB,906832,B_cell_lymphoma,blood,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669727_8359026017_R01C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669727/GSM1669727_8359026017_R01C01,0.563989666666666,CDK6;TRIB1;YAP1;ARPC1A;DNMT3B;EEF1A2;EGFR;ETV1;FGFR1;GATA6;LSM1;HRAS;BIRC2;BIRC3;MET;MYC;PAK1;PIK3CG;WHSC1L1;MED29;PKN1;C8orf4;C11orf30;SMURF1;PTK6;CCND1;SKP2;AURKA;YWHAB;YWHAZ;ZNF217;NCOA3;FADD;CCNE1;BAG4,"",FANCD2;MAP3K5;MITF;PAFAH1B1;PIK3CA;PIK3CB;DCUN1D1;EIF5A2;PTEN;RB1;SOX2;BRCA2;VHL;SLTM;EIF2A;RUVBL1;MTDH,"",""
DBTRG05MG,CellLine_DBTRG-05MG,GSM1669728,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DBTRG-05MG,Homo sapiens,cell line: DBTRG-05MG,primary site: nervous_system,primary histology: glioma,cosmic_id: 906835,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669728/suppl/GSM1669728_8221924165_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669728/suppl/GSM1669728_8221924165_R05C02_Red.idat.gz,0,DBTRG-05MG,906835,glioma,nervous_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669728_8221924165_R05C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669728/GSM1669728_8221924165_R05C02,0.642251,CDK4;CDK6;ARPC1A;YWHAQ;DNMT3B;EEF1A2;EGFR;ETV1;CD274;MET;PIK3CG;SMURF1;PTK6;RB1;SOX2;BRCA2;AURKA;TFDP1;YWHAB;ZNF217;SLTM;NCOA3;CCNE1,"","",CDKN2A;CDKN2B,""
DEL,CellLine_DEL,GSM1669729,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DEL,Homo sapiens,cell line: DEL,primary site: blood,primary histology: lymphoid_neoplasm other,cosmic_id: 906836,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669729/suppl/GSM1669729_7878191026_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669729/suppl/GSM1669729_7878191026_R05C01_Red.idat.gz,0,DEL,906836,lymphoid_neoplasm other,blood,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669729_7878191026_R05C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669729/GSM1669729_7878191026_R05C01,0.606871833333332,AKT3;CDK6;ADAR;ARPC1A;CKS1B;E2F3;EEF1A2;MDM4;MET;PIK3CG;SMURF1;PTK6;SHC1;SKP2;SOX4,"",GATA6,"",""
DMS79,CellLine_DMS-79,GSM1669738,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DMS-79,Homo sapiens,cell line: DMS-79,primary site: lung,primary histology: lung_small_cell_carcinoma,cosmic_id: 753551,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669738/suppl/GSM1669738_8221924092_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669738/suppl/GSM1669738_8221924092_R02C02_Red.idat.gz,0,DMS-79,753551,lung_small_cell_carcinoma,lung,,Tumor,,,,8221924092_R02C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669738/GSM1669738_8221924092_R02C02,0.842794833333335,BCL2L2-PABPN1;TRIB1;CDKN2C;YAP1;E2F3;EEF1A2;EIF2S1;BIRC2;BIRC3;JUN;MET;MYC;MYCL1;PAK1;PIK3CD;TRIT1;C11orf30;PTK6;SOX4;TFDP1;YWHAZ;RUVBL1;MTDH;SETDB1,NKX2-8;PAX9;NKX2-1,CDK4;FANCD2;FAT1;HRAS;MDM2;MITF;PTEN;RPS6KB1;LINC00290;VHL;YWHAB;SLTM;TET1;YEATS4;NCOA3;DYRK2;PPM1D;IST1,"",""
DOHH2,CellLine_DOHH-2,GSM1669740,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DOHH-2,Homo sapiens,cell line: DOHH-2,primary site: blood,primary histology: B_cell_lymphoma,cosmic_id: 906842,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669740/suppl/GSM1669740_7878191026_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669740/suppl/GSM1669740_7878191026_R05C02_Red.idat.gz,0,DOHH-2,906842,B_cell_lymphoma,blood,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669740_7878191026_R05C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669740/GSM1669740_7878191026_R05C02,0.567959166666667,CDK6;ARPC1A;EGFR;ETV1;MET;PIK3CG;SMURF1,"","",CDKN2A;CDKN2B,""
DOV13,CellLine_DOV13,GSM1669743,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DOV13,Homo sapiens,cell line: DOV13,primary site: urogenital_system,primary histology: ovary,cosmic_id: 1479987,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669743/suppl/GSM1669743_9297962142_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669743/suppl/GSM1669743_9297962142_R03C02_Red.idat.gz,0,DOV13,1479987,ovary,urogenital_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669743_9297962142_R03C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669743/GSM1669743_9297962142_R03C02,0.7598585,AKT3;CDKN2A;ADAR;CDKN2B;CKS1B;GATA6;JUN;MDM4;MAP3K5;MYB;MYCL1;NRAS;TRIT1;RPS6KB1;SHC1;PPM1D;CCNE1;CHD1L;SETDB1,"",FAT1;FGFR1;CD274;PIK3CA;PIK3CD;DCUN1D1;SOX2;TFDP1;SLTM,LINC00290,""
DU4475,CellLine_DU-4475,GSM1669746,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,DU-4475,Homo sapiens,cell line: DU-4475,primary site: breast,primary histology: breast,cosmic_id: 906844,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669746/suppl/GSM1669746_7970376038_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669746/suppl/GSM1669746_7970376038_R04C01_Red.idat.gz,0,DU-4475,906844,breast,breast,,Tumor,,,,7970376038_R04C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669746/GSM1669746_7970376038_R04C01,0.81896466666667,AKT3;CDK6;ADAR;ARPC1A;CKS1B;EGFR;ETV1;MDM4;MET;MYB;PIK3CG;SMURF1;SHC1;TET1;CHD1L;SETDB1,"",PTEN;CCND2,RB1,""
ECC10,CellLine_ECC10,GSM1669750,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,ECC10,Homo sapiens,cell line: ECC10,primary site: digestive_system,primary histology: stomach,cosmic_id: 906848,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669750/suppl/GSM1669750_8221924144_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669750/suppl/GSM1669750_8221924144_R03C02_Red.idat.gz,0,ECC10,906848,stomach,digestive_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1669750_8221924144_R03C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669750/GSM1669750_8221924144_R03C02,0.8103145,CDK6;TRIB1;DNMT3B;EEF1A2;EGFR;ETV1;FGFR1;LSM1;MET;MYC;WHSC1L1;PKN1;C8orf4;PTK6;AURKA;YWHAB;YWHAZ;ZNF217;NCOA3;CCNE1;MTDH;BAG4,"",MDM2;RB1;BRCA2;YEATS4;DYRK2;IST1,"",SKP2
EFM19,CellLine_EFM-19,GSM1669754,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,EFM-19,Homo sapiens,cell line: EFM-19,primary site: breast,primary histology: breast,cosmic_id: 906851,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669754/suppl/GSM1669754_7970368157_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669754/suppl/GSM1669754_7970368157_R01C02_Red.idat.gz,0,EFM-19,906851,breast,breast,,Tumor,,,,7970368157_R01C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669754/GSM1669754_7970368157_R01C02,0.877681333333335,AKT3;BCL2L2-PABPN1;TRIB1;ADAR;STARD3;CKS1B;DNMT3B;E2F3;ERBB2;NKX2-8;GRB7;KIT;MDM2;MDM4;MAP3K5;MYB;MYC;PAX9;RAB23;PIK3CA;PIK3CB;DCUN1D1;EIF5A2;RB1;RPS6KB1;SHC1;SOX2;SOX4;BRCA2;NKX2-1;YWHAZ;YEATS4;NCOA3;EIF2A;PPM1D;RUVBL1;MTDH;CHD1L;SETDB1;CDC6,EEF1A2;PTK6;AURKA;ZNF217,CDK6;ARPC1A;FGFR1;LSM1;MET;PAFAH1B1;PIK3CD;PIK3CG;WHSC1L1;C8orf4;SMURF1;PTEN;SKP2;BAG4,CDKN2A;CDKN2B,""
EFM192A,CellLine_EFM-192A,GSM1669755,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,EFM-192A,Homo sapiens,cell line: EFM-192A,primary site: breast,primary histology: breast,cosmic_id: 1290798,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669755/suppl/GSM1669755_7970368027_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669755/suppl/GSM1669755_7970368027_R03C02_Red.idat.gz,0,EFM-192A,1290798,breast,breast,,Tumor,,,,7970368027_R03C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669755/GSM1669755_7970368027_R03C02,0.830200000000001,AKT3;BCL2L2-PABPN1;CDK4;CDK6;ARPC1A;E2F3;EIF2S1;FAT1;NKX2-8;KIT;MDM2;NRAS;PAK1;PAX9;RAB23;MED29;C11orf30;SMURF1;CCND1;SKP2;SOX4;TFDP1;NKX2-1;LINC00290;YEATS4;DYRK2;FADD;CCNE1;MTDH;CHD1L;SETDB1;CDC6,MYC;RPS6KB1;AURKA;ZNF217;NCOA3;PPM1D,CDKN2A;CDKN2B;CDKN2C;DNMT3B;EEF1A2;EGFR;ETV1;FGFR1;GATA6;LSM1;CD274;HRAS;JUN;KRAS;MITF;MYCL1;PAFAH1B1;PIK3CD;TRIT1;WHSC1L1;PKN1;C8orf4;PTK6;YWHAB;CCND2;BAG4,"",TRIB1;STARD3;ERBB2;GRB7
EFO21,CellLine_EFO-21,GSM1669756,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,EFO-21,Homo sapiens,cell line: EFO-21,primary site: urogenital_system,primary histology: ovary,cosmic_id: 911905,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669756/suppl/GSM1669756_7970368027_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1669nnn/GSM1669756/suppl/GSM1669756_7970368027_R05C01_Red.idat.gz,0,EFO-21,911905,ovary,urogenital_system,,Tumor,,,,7970368027_R05C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1669756/GSM1669756_7970368027_R05C01,0.792068833333335,AKT3;CDK6;TRIB1;ADAR;YAP1;ARPC1A;STARD3;CKS1B;DNMT3B;E2F3;EEF1A2;ERBB2;GRB7;BIRC2;BIRC3;AR;MET;MYC;PAK1;PIK3CA;PIK3CB;PIK3CG;DCUN1D1;PKN1;EIF5A2;C11orf30;SMURF1;PTK6;CCND1;RPS6KB1;SHC1;SOX2;SOX4;AURKA;YWHAB;YWHAZ;ZNF217;NCOA3;EIF2A;PLA2G10;PPM1D;FADD;CCNE1;MTDH;SETDB1;CDC6,"",CD274;MITF;RB1;LINC00290;CCND2,"",""
